国語,社会,数学,理科,音楽,美術,保体,技家,英語
55,59,38,66,29,32,29,36,61
36,49,35,57,63,62,55,66,45
53,58,16,41,67,64,50,50,48
78,80,42,65,85,75,69,76,70
6,19,38,59,49,47,43,57,26
41,43,49,66,74,64,63,75,49
73,78,57,77,61,62,53,65,73
21,29,38,58,64,58,52,65,32
50,55,22,51,58,58,51,46,52
61,69,57,71,68,61,53,64,63
73,80,66,88,43,48,42,60,80
56,69,79,91,55,50,50,72,73
56,53,30,50,73,72,63,62,45
35,43,35,49,57,53,45,47,38
37,52,54,71,81,72,70,80,51
61,66,53,74,69,62,56,74,63
39,55,56,69,82,70,68,78,52
37,41,23,42,53,50,37,44,37
40,45,60,72,73,67,59,76,48
54,65,55,72,81,73,68,85,66
